Key Date;Legal Entity;Business Portfolio;Cohort;Factor Actuals;Factor Estimates
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;97,93;97,93
20211231;001;31;0000;L41200;2,07;2,07
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;32;2000;L22100;100,00;100,00
20211231;001;32;2000;L22100;100,00;100,00
20211231;001;32;2000;L22100;86,96;86,96
20211231;001;32;2000;L22100;13,04;13,04
20211231;001;32;2000;L22100;0,00;0,00
20211231;001;32;2000;L22100;0,00;0,00
20211231;001;32;2000;L22100;0,00;0,00
20211231;001;32;2000;L22100;100,00;100,00
20211231;001;32;2000;L22100;0,00;0,00
20211231;001;32;2000;L22100;100,00;100,00
20211231;001;32;2001;L22100;100,00;100,00
20211231;001;32;2001;L22100;100,00;100,00
20211231;001;32;2001;L22100;79,97;79,97
20211231;001;32;2001;L22100;20,03;20,03
20211231;001;32;2001;L22100;0,00;0,00
20211231;001;32;2001;L22100;0,00;0,00
20211231;001;32;2001;L22100;0,00;0,00
20211231;001;32;2001;L22100;100,00;100,00
20211231;001;32;2001;L22100;0,00;0,00
20211231;001;32;2001;L22100;100,00;100,00
20211231;001;32;2002;L22100;100,00;100,00
20211231;001;32;2002;L22100;100,00;100,00
20211231;001;32;2002;L22100;84,90;84,90
20211231;001;32;2002;L22100;15,10;15,10
20211231;001;32;2002;L22100;0,00;0,00
20211231;001;32;2002;L22100;0,00;0,00
20211231;001;32;2002;L22100;0,00;0,00
20211231;001;32;2002;L22100;100,00;100,00
20211231;001;32;2002;L22100;0,00;0,00
20211231;001;32;2002;L22100;100,00;100,00
20211231;001;32;2003;L22100;100,00;100,00
20211231;001;32;2003;L22100;100,00;100,00
20211231;001;32;2003;L22100;91,60;91,60
20211231;001;32;2003;L22100;8,40;8,40
20211231;001;32;2003;L22100;0,00;0,00
20211231;001;32;2003;L22100;0,00;0,00
20211231;001;32;2003;L22100;0,00;0,00
20211231;001;32;2003;L22100;100,00;100,00
20211231;001;32;2003;L22100;0,00;0,00
20211231;001;32;2003;L22100;100,00;100,00
20211231;001;32;2004;L22100;100,00;100,00
20211231;001;32;2004;L22100;100,00;100,00
20211231;001;32;2004;L22100;88,77;88,77
20211231;001;32;2004;L22100;11,23;11,23
20211231;001;32;2004;L22100;0,00;0,00
20211231;001;32;2004;L22100;0,00;0,00
20211231;001;32;2004;L22100;0,00;0,00
20211231;001;32;2004;L22100;100,00;100,00
20211231;001;32;2004;L22100;0,00;0,00
20211231;001;32;2004;L22100;100,00;100,00
20211231;001;32;2005;L22100;100,00;100,00
20211231;001;32;2005;L22100;100,00;100,00
20211231;001;32;2005;L22100;87,93;87,93
20211231;001;32;2005;L22100;12,07;12,07
20211231;001;32;2005;L22100;0,00;0,00
20211231;001;32;2005;L22100;0,00;0,00
20211231;001;32;2005;L22100;0,00;0,00
20211231;001;32;2005;L22100;100,00;100,00
20211231;001;32;2005;L22100;0,00;0,00
20211231;001;32;2005;L22100;100,00;100,00
20211231;001;32;2006;L22100;100,00;100,00
20211231;001;32;2006;L22100;100,00;100,00
20211231;001;32;2006;L22100;91,42;91,42
20211231;001;32;2006;L22100;8,58;8,58
20211231;001;32;2006;L22100;0,00;0,00
20211231;001;32;2006;L22100;0,00;0,00
20211231;001;32;2006;L22100;0,00;0,00
20211231;001;32;2006;L22100;100,00;100,00
20211231;001;32;2006;L22100;0,00;0,00
20211231;001;32;2006;L22100;100,00;100,00
20211231;001;32;2007;L22100;100,00;100,00
20211231;001;32;2007;L22100;100,00;100,00
20211231;001;32;2007;L22100;90,32;90,32
20211231;001;32;2007;L22100;9,68;9,68
20211231;001;32;2007;L22100;0,00;0,00
20211231;001;32;2007;L22100;0,00;0,00
20211231;001;32;2007;L22100;0,00;0,00
20211231;001;32;2007;L22100;100,00;100,00
20211231;001;32;2007;L22100;0,00;0,00
20211231;001;32;2007;L22100;100,00;100,00
20211231;001;32;2008;L22100;100,00;100,00
20211231;001;32;2008;L22100;100,00;100,00
20211231;001;32;2008;L22100;95,89;95,89
20211231;001;32;2008;L22100;4,11;4,11
20211231;001;32;2008;L22100;0,00;0,00
20211231;001;32;2008;L22100;0,00;0,00
20211231;001;32;2008;L22100;0,00;0,00
20211231;001;32;2008;L22100;100,00;100,00
20211231;001;32;2008;L22100;0,00;0,00
20211231;001;32;2008;L22100;100,00;100,00
20211231;001;32;2009;L22100;100,00;100,00
20211231;001;32;2009;L22100;100,00;100,00
20211231;001;32;2009;L22100;100,00;100,00
20211231;001;32;2009;L22100;0,00;0,00
20211231;001;32;2009;L22100;0,00;0,00
20211231;001;32;2009;L22100;0,00;0,00
20211231;001;32;2009;L22100;0,00;0,00
20211231;001;32;2009;L22100;100,00;100,00
20211231;001;32;2009;L22100;0,00;0,00
